title,author,price
 人工智能的进化 计算机思维离人类心智还有多远 赫克托莱韦斯克 著 中信出版社图书 正版书籍,赫克托莱韦斯克,¥31.80
 Excel高效办公应用与技巧大全+Excel数据处理与分析【全2册】函数图表透视表数据分析基础入门办公计算机从小白到大神,云飞,¥59.70
 【正版速发】计算机类书籍UI设计修课：交互+架构+视觉UE设计教程（全彩）李晓斌UI界面教程书籍平面设新书,李晓斌,¥57.00
 和秋叶一起学 秒懂Excel（全彩版）,秋叶 陈文登,¥37.40
 14天自造量子计算机（Python版）量子计算与编程入门量子信息 量子计算基础导论 使用薛定谔方程对量子计算机的基本要素,[日]远藤理平,¥40.40
 鲲鹏生态应用开发 科技类书籍 计算机网络类书籍 正版书籍,人民邮电出版社,¥170.00
 正版 移动UI界面设计（微课版） 张晓景 书店 计算机类书籍 畅想畅销书任选备注,其他,¥72.00
 智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养,陈云霁 李玲 李威 郭崎 杜子东,¥91.86
 正版 移动UI界面设计（微课版） 张晓景 书店 计算机类书籍 畅想畅销书,其他,¥64.00
 正版 UML建模实例教程-(第2版) 彭勇 书店 计算机类书籍 畅想畅销书,其他,¥47.00
 正版 移动UI界面设计（微课版） 张晓景 书店 计算机类书籍 畅想畅销书,其他,¥68.00
 现货智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养,陈云霁李玲李威郭崎杜子东,¥100.22
 正版 移动UI界面设计（微课版） 张晓景 书店 计算机类书籍 畅想畅销书,其他,¥64.00
 电子线路CAD 书店 电子工业出版社 计算机类书籍 书 畅想畅销书,其他,¥38.00
 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥48.10
 智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养 机械,陈云霁李玲李威郭崎杜子东,¥85.34
 正版 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥46.38
 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥45.38
 ASP.NET开发技术 朱珍 书店 计算机类书籍,其他,¥38.00
 Android模块化开发项目式教程（Android Studio） 郑丹青 计算机类书籍,不详,¥43.14
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍任选下单备注,其他,¥48.66
 正版 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想书,不详,¥42.20
 正版 新编五笔字型快速培训教程 丁爱萍 书店 计算机类书籍 书 畅想书全新正版,不详,¥28.76
 大学计算机基础（微课版） 王方杰 计算机类书籍 国家图书馆书店,王方杰 朱作付,¥36.00
 J W程序设计任务教程 黑马程序员 书店 计算机类书籍,其他,¥62.00
 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,其他,¥34.00
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥46.00
 【电子书】计算机组成原理（第3版) 电子书 计算机类书籍 大学教,纪禄平,¥22.50
 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想畅销书,其他,¥35.50
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业,电子工业出版社,¥51.79
 正版精通特征工程/图灵程式设计丛书 计算机类书籍一册 人民邮电出版社 9787115509680,人民邮电出版社,¥50.95
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥48.60
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥63.00
 ASP.NET开发技术 朱珍 书店 计算机类书籍,其他,¥49.00
 网络工程综合实践教程 俞研等 书店 计算机类书籍,其他,¥30.00
 SSH框架企业级应用实战 肖睿 计算机类书籍,不详,¥53.38
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥47.10
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥49.10
 J W程序设计任务教程 黑马程序员 书店 计算机类书籍,其他,¥62.00
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,其他,¥30.00
 SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书,其他,¥34.70
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍 畅想畅销书,其他,¥32.70
 网络工程综合实践教程 俞研 等 计算机类书籍,不详,¥32.13
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥47.70
 智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养,机械工业出版社,¥66.00
 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想畅销书,其他,¥35.40
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 计算机类书籍,不详,¥36.93
 SSH框架企业级应用实战 肖睿 书店 计算机类书籍,其他,¥50.00
 现货智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养,陈云霁李玲李威郭崎杜子东,¥84.06
 二手书大学计算机基础大学教材计算机类书籍吴杏计算机应用基础自营同款,佚名,¥14.19
 计算机组成原理（第3版) 电子书 计算机类书籍 大学教材,纪禄平,¥22.50
 正版书籍 计算机类毕业设计指导与项目案例实践 赵骥 王彩霞 21世纪高等学校计算机应用技术系列教材 9787302634,赵骥 王彩霞 孙学波 张美娜 张孝临 代红,¥50.80
 正版书籍 计算机类专业新型一体化：移动端UI元素图形创意设计案例教程 无 计算机类专业新型一体化：移动端UI元素图形创意,电子工业出版社,¥41.40
 全新正版SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书【博睿好书】任选,其他,¥38.00
 Python 3.5从零开始学 刘宇宙 书店 计算机类书籍 书 畅想畅销书,其他,¥53.70
 正版【凤凰旗舰店】网络安全与管理实验与实训（微课视频版）石磊 高等学校计算机类书籍 信息管理类专业书籍任选FHXHSHD,清华大学出版社,¥54.00
 接入网技术 孙青华 书店 计算机类书籍 畅想畅销书,其他,¥40.70
 新编计算机文化基础教程(Windows 7+Office 2010版)-4版 靳敏 计算机类书籍,不详,¥31.49
 响应式动态网站项目开发-(jQuery+PHP+MySQL+Apache) 书店 高和蓓 计算机类书籍 书 畅想畅销书,其他,¥32.00
 SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书,其他,¥38.00
